sequence_id,5fold_seed1,5fold_seed2,5fold_seed3,5fold_seed4,5fold_seed5,5fold_seed6,5fold_seed7,5fold_seed8,5fold_seed9,5fold_seed10,5fold_seed2025
SEQ_000846,4,4,4,4,3,4,4,4,4,3,4
SEQ_000849,2,3,3,2,2,2,2,1,2,3,4
SEQ_000851,0,1,1,1,0,1,0,0,1,0,1
SEQ_000862,4,0,0,3,4,4,3,3,4,0,1
SEQ_000864,3,3,3,3,2,3,2,2,3,2,3
SEQ_000874,3,0,0,4,4,4,4,4,0,3,4
SEQ_000877,2,2,2,2,2,2,2,2,2,2,2
SEQ_000881,0,2,2,4,0,4,1,1,1,0,1
SEQ_000892,2,4,4,3,3,3,3,3,4,2,0
SEQ_000896,0,1,4,4,4,0,4,4,3,0,3
SEQ_000899,2,2,2,2,1,2,1,1,2,1,2
SEQ_000905,2,3,3,2,2,2,2,1,2,3,4
SEQ_000913,0,3,3,3,2,3,2,2,3,2,3
SEQ_000927,3,0,0,4,0,1,0,0,0,0,1
SEQ_000929,4,2,2,2,1,2,1,1,2,1,2
SEQ_000936,1,3,3,1,1,3,2,2,2,1,2
SEQ_000942,4,0,4,4,4,0,4,4,4,4,4
SEQ_000949,0,2,2,4,0,4,1,1,1,0,1
SEQ_000957,4,2,2,2,1,2,1,1,2,1,2
SEQ_000958,4,1,1,0,1,0,0,0,1,0,2
SEQ_000959,2,4,4,3,3,3,3,3,4,2,0
SEQ_000961,2,3,2,2,2,3,2,2,2,3,2
SEQ_000965,3,0,0,4,0,1,0,0,0,0,1
SEQ_000971,2,4,3,2,2,2,2,1,3,3,4
SEQ_000976,1,3,3,2,3,2,2,3,3,2,4
SEQ_000979,3,4,3,3,3,4,3,3,3,4,3
SEQ_000983,3,4,4,3,3,3,3,2,4,4,0
SEQ_000985,1,3,3,2,3,2,2,3,3,2,4
SEQ_000992,2,2,2,2,1,2,1,1,2,1,2
SEQ_000993,3,3,3,3,2,3,3,2,3,2,3
SEQ_000995,2,4,3,2,2,2,2,1,3,3,4
SEQ_000996,2,0,2,2,3,2,3,4,4,3,4
SEQ_000999,0,0,0,0,4,0,4,4,0,4,0
SEQ_001003,2,4,4,3,4,4,4,4,4,4,0
SEQ_001025,0,3,3,3,2,3,2,2,3,2,3
SEQ_001031,3,0,0,4,0,4,4,0,0,4,1
SEQ_001032,1,4,3,1,2,1,1,4,3,2,3
SEQ_001043,1,4,4,1,2,1,2,3,3,2,3
SEQ_001053,0,2,2,4,0,4,1,1,1,0,1
SEQ_001060,3,0,0,4,4,4,4,4,0,3,4
SEQ_001062,2,2,2,2,2,2,2,2,2,2,2
SEQ_001065,0,0,0,0,4,0,0,0,0,4,0
SEQ_001069,1,2,2,0,1,1,0,0,1,2,3
SEQ_001077,1,4,4,4,3,4,3,3,4,3,4
SEQ_001091,3,4,4,4,3,3,2,2,3,4,0
SEQ_001118,1,3,3,2,3,2,3,3,3,3,4
SEQ_001121,2,2,2,2,2,2,2,2,2,2,2
SEQ_001124,2,4,4,3,4,3,3,4,4,3,0
SEQ_001127,1,1,1,1,0,1,1,3,1,0,1
SEQ_001133,2,2,2,2,1,2,2,1,2,1,2
SEQ_001136,1,1,1,1,0,1,1,3,1,0,1
SEQ_001139,1,2,2,0,1,1,0,0,1,2,3
SEQ_001154,3,0,0,4,0,1,0,0,0,0,1
SEQ_001159,1,2,2,0,1,1,0,0,1,2,3
SEQ_001160,3,4,3,2,3,3,2,2,3,4,4
SEQ_001196,4,1,1,4,4,0,0,0,0,4,2
SEQ_001201,4,0,0,4,4,4,4,3,4,0,1
SEQ_001203,4,2,0,0,0,1,0,0,0,1,0
SEQ_001223,1,3,3,2,3,2,2,3,3,2,4
SEQ_001225,0,0,0,0,4,0,0,0,0,4,0
SEQ_001230,0,3,2,2,2,3,2,2,3,2,3
SEQ_001232,4,4,4,4,3,4,4,4,4,3,4
SEQ_001234,2,4,4,3,4,3,3,4,4,3,0
SEQ_001245,3,3,3,3,0,3,3,3,3,4,3
SEQ_001249,2,0,0,0,4,0,4,4,0,4,0
SEQ_001256,2,2,2,2,2,2,2,2,2,2,2
SEQ_001257,4,2,0,4,4,4,4,4,4,0,1
SEQ_001265,0,2,2,1,2,1,1,1,2,1,3
SEQ_001283,4,1,1,3,4,3,0,0,0,4,0
SEQ_001290,1,4,3,2,3,4,3,3,4,3,4
SEQ_001295,2,0,4,3,4,0,4,4,2,4,0
SEQ_001296,0,3,3,3,2,3,2,2,3,2,3
SEQ_001301,4,2,2,2,1,2,1,1,2,1,2
SEQ_001302,2,2,2,2,1,2,2,1,2,1,2
SEQ_001307,2,0,4,3,4,0,4,4,2,4,0
SEQ_001311,0,1,1,1,0,1,0,0,1,0,1
SEQ_001317,2,4,4,2,2,2,3,3,3,2,3
SEQ_001324,4,0,0,3,2,4,3,3,4,3,0
SEQ_001342,3,0,0,4,0,4,0,0,0,0,1
SEQ_001350,4,2,4,1,1,2,1,1,2,1,2
SEQ_001352,3,4,4,3,3,3,3,2,4,4,0
SEQ_001353,1,1,1,1,0,1,1,3,1,0,1
SEQ_001361,0,1,4,4,4,0,4,4,3,0,3
SEQ_001363,3,4,3,3,3,4,3,3,3,4,3
SEQ_001368,3,1,0,3,4,3,4,0,0,4,0
SEQ_001375,2,0,2,2,3,2,3,4,4,3,4
SEQ_001383,3,0,0,4,0,4,0,0,0,0,1
SEQ_001384,1,2,2,0,1,1,0,0,1,2,3
SEQ_001392,4,4,4,4,3,4,4,4,4,3,4
SEQ_001398,0,2,2,1,2,3,2,2,2,2,3
SEQ_001404,0,3,3,3,2,3,2,2,3,2,3
SEQ_001410,3,4,4,4,3,4,3,3,4,3,4
SEQ_001414,4,0,0,3,4,4,3,3,4,0,1
SEQ_001416,1,2,2,0,1,1,0,0,1,2,3
SEQ_001418,1,3,3,1,1,3,2,2,2,1,2
SEQ_001420,4,1,1,0,1,2,1,1,1,1,2
SEQ_001426,3,0,0,4,0,4,4,0,0,4,1
SEQ_001439,0,1,0,0,0,1,0,0,0,0,0
SEQ_001451,0,0,0,0,4,0,0,0,0,4,0
SEQ_001456,1,4,4,4,3,4,3,3,4,3,4
SEQ_001459,3,0,0,4,0,4,0,0,0,0,1
SEQ_001460,3,0,0,4,0,1,0,0,0,0,1
SEQ_001481,1,4,3,2,3,4,3,3,4,3,4
SEQ_001494,4,0,4,4,4,0,4,4,4,4,4
SEQ_001520,0,2,2,1,2,1,1,2,2,2,3
SEQ_001524,2,4,4,3,3,3,3,3,4,2,0
SEQ_001531,1,2,2,1,1,1,1,0,1,2,3
SEQ_001540,2,0,4,2,3,2,2,2,4,3,4
SEQ_001549,1,4,2,1,1,1,1,2,2,2,3
SEQ_001555,1,4,4,1,2,1,2,3,3,2,3
SEQ_001556,0,3,2,2,2,3,2,2,3,2,3
SEQ_001558,4,0,0,3,2,4,3,3,4,3,0
SEQ_001567,3,4,3,2,3,3,2,2,3,4,4
SEQ_001568,1,4,2,1,1,1,1,2,2,2,3
SEQ_001570,2,0,4,3,4,0,4,4,2,4,0
SEQ_001580,2,2,2,2,2,2,2,2,2,2,2
SEQ_001589,4,2,4,1,1,2,1,1,2,1,2
SEQ_001598,1,4,3,1,2,1,1,4,3,2,3
SEQ_001601,0,3,1,0,0,0,0,0,1,1,2
SEQ_001605,3,4,4,3,3,3,3,2,4,4,0
SEQ_001607,3,0,0,4,0,1,0,0,0,0,1
SEQ_001614,1,3,1,1,1,0,1,1,1,1,1
SEQ_001615,0,3,2,0,1,0,0,4,2,1,2
SEQ_001616,4,2,1,4,0,4,4,1,1,0,1
SEQ_001618,3,3,3,3,0,3,3,3,3,4,3
SEQ_001628,3,4,4,4,3,3,2,2,3,4,0
SEQ_001633,4,0,0,3,2,4,3,3,4,3,0
SEQ_001642,1,1,1,1,1,1,1,1,1,1,1
SEQ_001649,1,3,3,1,1,3,2,2,2,1,2
SEQ_001655,4,0,0,3,2,4,3,3,4,3,0
SEQ_001658,0,2,2,1,2,1,1,1,2,1,3
SEQ_001664,3,4,4,3,3,3,3,2,4,4,0
SEQ_001679,1,4,3,1,2,1,1,4,3,2,3
SEQ_001694,1,1,1,1,0,1,0,0,1,0,1
SEQ_001704,3,0,0,4,0,4,4,0,0,4,1
SEQ_001708,4,4,4,4,3,4,3,3,4,3,4
SEQ_001714,2,4,4,3,4,3,3,4,4,3,0
SEQ_001721,2,2,2,2,1,2,2,1,2,1,2
SEQ_001731,4,1,1,0,1,0,0,1,1,1,2
SEQ_001753,0,1,1,0,0,0,0,4,0,1,2
SEQ_001758,2,0,0,0,4,0,4,4,0,4,0
SEQ_001760,1,4,2,1,1,1,1,2,2,2,3
SEQ_001761,2,2,2,2,2,2,2,2,2,2,2
SEQ_001763,1,3,3,2,3,2,2,2,3,0,4
SEQ_001765,1,4,3,1,2,1,1,4,3,2,3
SEQ_001776,1,4,2,1,1,1,1,2,2,2,3
SEQ_001777,1,3,3,1,1,3,2,2,2,1,2
SEQ_001778,2,0,0,0,4,0,4,4,0,4,0
SEQ_001784,0,3,1,0,0,0,0,0,1,1,2
SEQ_001786,2,4,3,2,2,2,2,1,3,3,4
SEQ_001801,0,0,0,0,4,0,0,0,0,4,0
SEQ_001822,4,0,0,0,4,0,4,4,0,4,0
SEQ_001830,4,1,1,4,4,0,0,0,0,4,2
SEQ_001832,1,2,2,1,1,1,1,0,1,2,3
SEQ_001861,4,2,4,1,1,2,1,1,2,1,2
SEQ_001864,3,0,0,3,3,4,4,4,4,3,4
SEQ_001865,2,4,4,2,2,2,3,3,3,2,3
SEQ_001876,1,4,3,2,3,4,3,3,4,3,4
SEQ_001885,2,2,2,2,1,2,1,1,2,1,2
SEQ_001904,4,1,1,4,4,0,0,0,0,4,2
SEQ_001905,3,3,3,3,2,3,3,2,3,2,3
SEQ_001906,2,4,4,2,2,2,3,3,3,2,3
SEQ_001909,4,1,1,0,1,2,1,1,1,1,2
SEQ_001910,2,0,0,0,4,0,4,4,0,4,0
SEQ_001915,4,2,0,4,4,4,4,4,4,0,1
SEQ_001926,0,2,2,1,2,1,1,2,2,2,3
SEQ_001932,1,4,3,2,3,4,3,3,4,3,4
SEQ_001935,3,4,4,4,3,4,3,3,4,3,4
SEQ_001936,0,0,0,0,4,0,0,0,0,4,0
SEQ_001946,2,0,0,0,4,0,4,4,0,4,0
SEQ_001954,0,1,1,0,0,0,0,4,0,1,2
SEQ_001963,1,1,1,1,1,1,1,1,1,1,1
SEQ_001971,4,4,4,4,3,4,3,3,4,3,4
SEQ_001978,3,4,3,3,3,4,3,3,3,4,3
SEQ_001985,0,3,2,0,1,0,0,4,2,1,2
SEQ_001986,2,4,4,2,2,2,3,3,3,2,3
SEQ_002011,2,4,3,2,2,2,2,1,3,3,4
SEQ_002012,4,2,0,0,0,1,0,0,0,1,0
SEQ_002020,3,0,0,3,3,4,4,4,4,3,4
SEQ_002029,3,1,3,3,4,3,3,3,0,4,0
SEQ_002044,1,4,4,4,3,4,3,3,4,3,4
SEQ_002045,4,1,1,0,1,2,1,1,1,1,2
SEQ_002046,1,1,1,1,1,1,1,1,1,1,1
SEQ_002050,2,4,4,3,3,3,3,3,4,2,0
SEQ_002054,1,4,3,2,3,4,3,3,4,3,4
SEQ_002074,3,4,4,3,3,3,3,2,4,4,0
SEQ_002095,4,0,0,3,2,4,3,3,4,3,0
SEQ_002096,0,1,1,4,0,0,4,4,0,1,2
SEQ_002101,4,1,1,0,1,0,0,0,1,0,2
SEQ_002108,1,4,3,2,3,4,3,3,4,3,4
SEQ_002117,3,4,4,4,3,4,3,3,4,3,4
SEQ_002119,4,1,1,0,1,2,1,1,1,1,2
SEQ_002157,3,0,0,3,3,4,4,4,4,3,4
SEQ_002161,3,0,0,4,4,4,4,4,0,3,4
SEQ_002177,4,1,1,4,4,0,0,0,0,4,2
SEQ_002182,2,2,2,2,1,2,1,1,2,1,2
SEQ_002183,0,3,3,3,2,3,2,2,3,2,3
SEQ_002185,2,3,3,0,1,0,4,2,2,1,2
SEQ_002190,0,2,2,4,0,4,1,1,1,0,1
SEQ_002194,4,1,1,0,1,0,0,1,1,1,2
SEQ_002216,2,0,0,0,4,0,4,4,0,4,0
SEQ_002223,0,3,1,0,0,0,0,0,1,1,2
SEQ_002228,1,4,3,2,3,4,3,3,4,3,4
SEQ_002250,2,3,4,1,2,2,1,1,2,3,4
SEQ_002256,3,4,4,4,3,3,2,2,3,4,0
SEQ_002260,4,4,4,4,3,4,4,4,4,3,4
SEQ_002268,4,2,1,4,0,4,4,1,1,0,1
SEQ_002276,3,4,4,3,3,3,3,2,4,4,0
SEQ_002285,2,4,3,2,2,2,2,1,3,3,4
SEQ_002294,1,2,2,1,1,1,1,0,1,2,3
SEQ_002302,4,0,0,0,4,0,4,4,0,4,0
SEQ_002309,1,2,2,1,1,1,1,0,1,2,3
SEQ_002317,4,2,0,4,4,4,4,4,4,0,1
SEQ_002320,2,0,2,2,3,2,3,4,4,3,4
SEQ_002322,4,1,1,0,1,2,1,1,1,1,2
SEQ_002324,3,3,3,3,2,3,2,2,3,2,3
SEQ_002325,3,0,0,4,0,1,0,0,0,0,1
SEQ_002344,2,4,4,3,3,3,3,3,4,2,0
SEQ_002349,4,2,0,0,0,1,0,0,0,1,0
SEQ_002350,3,3,3,3,2,3,2,2,3,2,3
SEQ_002357,3,1,3,3,4,3,3,3,0,4,0
SEQ_002359,1,1,1,1,1,1,1,1,1,1,1
SEQ_002362,2,3,3,2,2,2,2,1,2,3,4
SEQ_002363,0,3,3,3,2,3,2,2,3,2,3
SEQ_002374,0,3,1,0,0,0,0,0,1,1,2
SEQ_002380,2,2,2,2,2,2,2,2,2,2,2
SEQ_002381,0,2,2,1,2,1,1,2,2,2,3
SEQ_002384,1,3,3,2,3,2,2,2,3,0,4
SEQ_002391,2,4,3,2,2,2,2,1,3,3,4
SEQ_002450,1,4,4,1,2,1,2,3,3,2,3
SEQ_002451,0,3,2,2,2,3,2,2,3,2,3
SEQ_002452,2,2,2,2,1,2,2,1,2,1,2
SEQ_002461,4,0,0,4,4,4,4,3,4,0,1
SEQ_002515,1,3,3,1,1,3,2,2,2,1,2
SEQ_002529,3,0,0,4,0,1,0,0,0,0,1
SEQ_002555,0,2,2,4,0,4,1,1,1,0,1
SEQ_002559,3,3,3,3,2,3,3,2,3,2,3
SEQ_002591,1,3,3,2,3,2,3,3,3,3,4
SEQ_002600,1,2,2,1,1,1,1,0,1,2,3
SEQ_002614,0,1,1,0,0,0,0,4,0,1,2
SEQ_002622,3,3,3,3,0,3,3,3,3,4,3
SEQ_002624,3,4,3,3,3,4,3,3,3,4,3
SEQ_002629,2,0,4,3,4,0,4,4,2,4,0
SEQ_002631,4,2,0,4,4,4,4,4,4,0,1
SEQ_002652,4,0,0,0,4,0,4,4,0,4,0
SEQ_002653,3,3,3,3,2,3,2,2,3,2,3
SEQ_002654,3,0,0,4,0,4,0,0,0,0,1
SEQ_002663,1,2,2,0,1,1,0,0,1,2,3
SEQ_002664,1,2,1,1,1,2,1,1,1,2,1
SEQ_002678,3,4,3,3,3,4,3,3,3,4,3
SEQ_002687,2,4,4,3,3,3,3,3,4,2,0
SEQ_002693,3,0,0,4,0,1,0,0,0,0,1
SEQ_002695,0,1,1,0,0,0,0,4,0,1,2
SEQ_002699,4,1,1,3,4,3,0,0,0,4,0
SEQ_002715,3,1,3,3,4,3,3,3,0,4,0
SEQ_002721,3,4,4,4,3,3,2,2,3,4,0
SEQ_002736,4,1,1,0,1,0,0,0,1,0,2
SEQ_002740,1,4,2,1,1,1,1,2,2,2,3
SEQ_002743,4,2,0,0,0,1,0,0,0,1,0
SEQ_002754,4,2,0,0,0,1,0,0,0,1,0
SEQ_002759,2,4,4,3,4,3,3,4,4,3,0
SEQ_002770,3,3,3,3,2,3,2,2,3,2,3
SEQ_002777,3,4,3,2,3,3,2,2,3,4,4
SEQ_002782,1,2,1,1,1,2,1,1,1,2,1
SEQ_002790,3,4,3,3,3,4,3,3,3,4,3
SEQ_002802,3,3,3,3,0,3,3,3,3,4,3
SEQ_002812,4,0,0,4,4,4,4,3,4,0,1
SEQ_002815,0,1,0,0,0,1,0,0,0,0,0
SEQ_002817,1,4,2,1,1,1,1,2,2,2,3
SEQ_002826,1,3,3,2,3,2,3,3,3,3,4
SEQ_002833,4,4,4,4,3,4,3,3,4,3,4
SEQ_002841,3,0,0,4,0,1,0,0,0,0,1
SEQ_002852,1,1,1,1,0,1,0,0,1,0,1
SEQ_002855,2,3,4,1,2,2,1,1,2,3,4
SEQ_002856,4,2,0,4,4,4,4,4,4,0,1
SEQ_002861,4,2,2,2,1,2,1,1,2,1,2
SEQ_002876,4,0,0,3,2,4,3,3,4,3,0
SEQ_002890,4,2,1,4,0,4,4,1,1,0,1
SEQ_002910,4,2,0,0,0,1,0,0,0,1,0
SEQ_002924,1,3,3,1,1,3,2,2,2,1,2
SEQ_002926,4,1,1,3,4,3,0,0,0,4,0
SEQ_002928,0,2,2,0,0,1,1,1,1,0,1
SEQ_002939,0,2,2,1,2,1,1,2,2,2,3
SEQ_002957,4,4,4,4,3,4,3,3,4,3,4
SEQ_002962,4,1,1,0,1,0,0,0,1,0,2
SEQ_002982,3,4,4,3,3,3,3,2,4,4,0
SEQ_002990,4,0,0,3,2,4,3,3,4,3,0
SEQ_003018,0,1,1,4,0,0,4,4,0,1,2
SEQ_003027,0,3,2,2,2,3,2,2,3,2,3
SEQ_003028,4,0,4,4,4,0,4,4,4,4,4
SEQ_003033,4,0,4,4,4,0,4,4,4,4,4
SEQ_003041,3,3,3,3,2,3,2,2,3,2,3
SEQ_003060,1,4,3,2,3,4,3,3,4,3,4
SEQ_003066,2,0,4,2,3,2,2,2,4,3,4
SEQ_003071,3,3,3,3,2,3,3,2,3,2,3
SEQ_003073,4,4,4,4,3,4,4,4,4,3,4
SEQ_003075,4,0,0,4,4,4,4,3,4,0,1
SEQ_003081,4,1,1,0,1,2,1,1,1,1,2
SEQ_003090,3,4,4,4,3,3,2,2,3,4,0
SEQ_003092,0,2,2,1,2,1,1,2,2,2,3
SEQ_003094,3,4,4,4,3,4,3,3,4,3,4
SEQ_003098,1,1,1,1,0,1,0,0,1,0,1
SEQ_003134,4,1,1,3,4,3,0,0,0,4,0
SEQ_003164,1,1,1,1,0,1,1,3,1,0,1
SEQ_003180,4,1,1,0,1,0,0,1,1,1,2
SEQ_003183,3,4,4,4,3,3,2,2,3,4,0
SEQ_003185,4,2,4,1,1,2,1,1,2,1,2
SEQ_003190,2,4,4,3,4,4,4,4,4,4,0
SEQ_003191,2,2,2,2,2,2,2,2,2,2,2
SEQ_003207,2,3,3,2,2,2,2,1,2,3,4
SEQ_003221,3,3,3,3,2,3,3,2,3,2,3
SEQ_003226,1,3,3,1,1,3,2,2,2,1,2
SEQ_003230,4,1,1,0,1,2,1,1,1,1,2
SEQ_003253,0,2,2,1,2,1,1,2,2,2,3
SEQ_003260,3,4,3,3,3,4,3,3,3,4,3
SEQ_003282,0,2,2,0,0,1,1,1,1,0,1
SEQ_003297,1,3,3,2,3,2,3,3,3,3,4
SEQ_003332,2,3,2,2,2,3,2,2,2,3,2
SEQ_003334,3,1,1,0,0,1,0,0,1,0,1
SEQ_003338,4,0,0,3,4,4,3,3,4,0,1
SEQ_003343,0,3,3,3,2,3,2,2,3,2,3
SEQ_003345,3,4,4,4,3,3,2,2,3,4,0
SEQ_003348,4,1,1,4,4,0,0,0,0,4,2
SEQ_003356,4,1,1,0,1,0,0,0,1,0,2
SEQ_003363,2,4,4,3,4,3,3,4,4,3,0
SEQ_003399,2,0,0,0,4,0,4,4,0,4,0
SEQ_003415,0,3,1,0,0,0,0,0,1,1,2
SEQ_003418,3,3,3,3,2,3,2,2,3,2,3
SEQ_003421,4,4,4,4,3,4,4,4,4,3,4
SEQ_003423,3,3,3,3,0,3,3,3,3,4,3
SEQ_003433,1,1,1,1,1,1,1,1,1,1,1
SEQ_003447,1,2,1,1,1,2,1,1,1,2,1
SEQ_003453,2,3,3,0,1,0,4,2,2,1,2
SEQ_003464,1,1,1,1,1,1,1,1,1,1,1
SEQ_003482,4,2,4,1,1,2,1,1,2,1,2
SEQ_003489,0,2,2,1,2,1,1,1,2,1,3
SEQ_003520,1,1,1,1,0,1,0,0,1,0,1
SEQ_003532,2,2,2,2,1,2,1,1,2,1,2
SEQ_003539,0,1,4,4,4,0,4,4,3,0,3
SEQ_003549,4,0,0,3,4,4,3,3,4,0,1
SEQ_003552,0,3,1,0,0,0,0,0,1,1,2
SEQ_003556,2,3,3,0,1,0,4,2,2,1,2
SEQ_003560,2,3,3,2,2,2,2,1,2,3,4
SEQ_003564,0,2,2,1,2,1,1,1,2,1,3
SEQ_003582,1,1,1,1,1,1,1,1,1,1,1
SEQ_003588,0,2,2,0,0,1,1,1,1,0,1
SEQ_003589,4,2,0,4,4,4,4,4,4,0,1
SEQ_003604,3,1,0,3,4,3,4,0,0,4,0
SEQ_003614,4,1,1,0,1,0,0,1,1,1,2
SEQ_003615,4,0,0,3,2,4,3,3,4,3,0
